,Date,Nationality,Visitor_Index,Seat_Index,Outbound_Index,Stock index value,Temperature Difference,Oil Price,Exchange Rate to USD,Google Searches,Flight Prices,Trade Flows,Visa Policy,Vacation Days
2015,2015-12-01,Oman,224.7659692731977,130.5761693232297,116.69738091995994,5406.22,0.0,36.57,2.598383,124.5,116.06331899999999,,1.0,0.0
2016,2016-01-01,Oman,257.75351028130075,128.69349359811864,113.46638526849442,5179.36,-1.0,29.78,2.598262,114.0,150.9257449,,1.0,3.0
2017,2016-02-01,Oman,200.55772867399045,121.18630781290831,113.46638526849442,5395.11,-1.0,31.03,2.59832,92.75,163.7621264,,1.0,8.0
2018,2016-03-01,Oman,202.15462007351127,133.68042853409983,113.46638526849442,5467.42,-1.0,37.34,2.598433,100.0,161.6615917,,1.0,0.0
2019,2016-04-01,Oman,218.93093930646813,139.88372093023256,113.46638526849442,5942.72,-1.0,40.75,2.597601,96.5,170.16997,,1.0,0.0
2020,2016-05-01,Oman,204.09575067483897,146.5351450222106,113.46638526849442,5810.96,0.0,45.94,2.598017,92.2,163.4476566,,1.0,3.0
2021,2016-06-01,Oman,144.91729412510884,133.83590279592372,113.46638526849442,5777.31,1.0,47.69,2.597899,93.25,185.6585677,,1.0,3.0
2022,2016-07-01,Oman,197.27695727932186,155.66893127776325,113.46638526849442,5843.78,4.0,44.13,2.597953,105.8,172.55315880000003,,1.0,33.0
2023,2016-08-01,Oman,178.03162337181183,168.30284818395612,113.46638526849442,5735.0,5.0,44.87,2.597844,97.5,170.2549483,,1.0,19.0
2024,2016-09-01,Oman,156.77294888670812,150.39848445257385,113.46638526849442,5726.2,4.0,45.04,2.597284,104.5,166.6686865,,1.0,1.0
2025,2016-10-01,Oman,140.22766873642598,154.42644368957409,113.46638526849442,5481.44,1.0,49.29,2.597721,86.2,141.5865382,,1.0,0.0
2026,2016-11-01,Oman,116.26027858108013,138.7797230206428,113.46638526849442,5487.68,1.0,45.26,2.598316,100.25,124.2991252,,1.0,1.0
2027,2016-12-01,Oman,110.65585665396047,148.9900705513457,113.46638526849442,5782.71,-1.0,52.62,2.598604,100.75,117.32562450000002,,1.0,0.0
2028,2017-01-01,Oman,142.48413812836588,147.6900966814737,106.389390503328,5776.17,-1.0,53.59,2.598256,108.6,123.88366979999999,,1.0,3.0
2029,2017-02-01,Oman,134.29255467524703,128.73660830938073,106.389390503328,5780.03,-2.0,54.34,2.597982,94.5,141.0232355,,1.0,8.0
2030,2017-03-01,Oman,162.71108024933994,150.78782336033447,106.389390503328,5550.6,-1.0,50.9,2.597941,94.0,163.8528985,,1.0,0.0
2031,2017-04-01,Oman,157.8134457931531,151.9284034491769,106.389390503328,5513.52,0.0,52.16,2.5979419999999998,89.2,167.50719660000001,,1.0,1.0
2032,2017-05-01,Oman,149.7830724462289,150.46642278547162,106.389390503328,5421.95,0.0,49.89,2.598138,83.0,172.3397779,,1.0,2.0
2033,2017-06-01,Oman,111.70179291336466,143.2231512934413,106.389390503328,5118.31,2.0,46.17,2.597723,100.0,186.21445580000002,,1.0,9.0
2034,2017-07-01,Oman,179.99943759142982,156.40449438202245,106.389390503328,5024.24,4.0,47.66,2.597929,101.2,183.3056449,,1.0,32.0
2035,2017-08-01,Oman,167.42533667029085,156.90227332113926,106.389390503328,5052.55,5.0,49.94,2.598314,99.25,188.8838174,,1.0,19.0
2036,2017-09-01,Oman,152.27632816170603,144.82754115495166,106.389390503328,5137.35,4.0,52.95,2.598119,94.0,175.7408109,,1.0,1.0
2037,2017-10-01,Oman,131.9981329677541,143.78364253984847,106.389390503328,5010.66,1.0,54.92,2.598439,87.4,174.5549803,,1.0,0.0
2038,2017-11-01,Oman,132.88324911230782,148.62032923961328,106.389390503328,5109.62,1.0,59.93,2.59848,106.5,167.8708757,,1.0,1.0
2039,2017-12-01,Oman,145.97868635726118,149.4329762215835,106.389390503328,5099.28,-1.0,61.19,2.600616,96.4,162.77817180000002,,1.0,0.0
2040,2018-01-01,Oman,153.31579227686746,143.2231512934413,106.91660532652523,4999.96,2.0,66.23,2.60078,87.5,169.24484100376023,,1.0,1.0
2041,2018-02-01,Oman,133.54165418744157,125.54089365037888,106.91660532652523,5003.37,0.0,63.46,2.5927599999999997,78.75,169.17010349188809,,1.0,9.0
2042,2018-03-01,Oman,155.34176275677083,143.94956885288738,106.91660532652523,4773.51,,64.17,2.5927599999999997,78.0,172.77659078995288,,1.0,2.0
2043,2018-04-01,Oman,178.12621841769314,,,,,,,,,,,
2044,2018-05-01,Oman,169.32038758287436,,,,,,,,,,,
2045,2018-06-01,Oman,130.5204910521428,,,,,,,,,,,
2046,2013-01-01,China,100.0,100.0,100.0,2385.42,26.0,105.1,0.160666,8.0,,28090.0,0.0,8.0
2047,2013-02-01,China,141.77365682146151,91.12960055385908,100.0,2365.59,24.0,107.64,0.160423,8.5,,14882.0,0.0,28.0
2048,2013-03-01,China,91.82364419796015,100.49946221271652,100.0,2236.62,17.0,102.52,0.160796,8.2,,-906.0,0.0,0.0
2049,2013-04-01,China,96.61673276765413,98.72909120130554,100.0,2177.91,15.0,98.85,0.161557,8.5,,18362.0,0.0,5.0
2050,2013-05-01,China,96.75407139582151,87.25135064967176,100.0,2300.59,7.0,99.37,0.162778,9.0,,20659.0,0.0,1.0
2051,2013-06-01,China,88.25288208467627,78.30182847676389,100.0,1979.21,6.0,99.74,0.162958,9.2,,27267.0,0.0,26.0
2052,2013-07-01,China,78.77402581611571,78.64675411376366,100.0,1993.8,7.0,105.26,0.162955,7.75,,17758.0,0.0,31.0
2053,2013-08-01,China,78.24375432217708,77.44878657880747,100.0,2098.38,7.0,108.16,0.163356,8.5,,28134.0,0.0,30.0
2054,2013-09-01,China,79.93369917563051,75.52017011386255,100.0,2174.66,13.0,108.76,0.163378,8.2,,14753.0,0.0,3.0
2055,2013-10-01,China,81.83752582751484,101.51322214941831,100.0,2141.61,16.0,105.43,0.163796,11.0,,31035.0,0.0,12.0
2056,2013-11-01,China,101.51587563613579,99.01096591541288,100.0,2220.5,22.0,102.63,0.16409,14.25,,33753.0,0.0,0.0
2057,2013-12-01,China,119.71533371217909,101.41926391138254,100.0,2115.98,24.0,105.48,0.164602,12.2,,25228.0,0.0,15.0
2058,2014-01-01,China,156.8989334619045,101.81982271564034,116.39802998992937,2033.08,21.0,102.1,0.16527,12.5,,32023.0,0.0,7.0
2059,2014-02-01,China,179.89696858648028,93.4192144596783,116.39802998992937,2056.3,21.0,104.83,0.164569,11.0,,-22569.0,0.0,22.0
2060,2014-03-01,China,120.07951539265,103.06106049179719,116.39802998992937,2033.31,13.0,104.04,0.162077,11.6,,7985.0,0.0,0.0
2061,2014-04-01,China,135.62854481849598,103.13894692595844,116.39802998992937,2026.36,9.0,104.87,0.160638,13.5,,18664.0,0.0,3.0
2062,2014-05-01,China,113.90514557556831,105.14421353245886,116.39802998992937,2039.21,9.0,105.71,0.160276,12.0,,36239.0,0.0,4.0
2063,2014-06-01,China,99.83960976071077,99.23102599923351,116.39802998992937,2048.33,6.0,108.37,0.160484,12.0,,31894.0,0.0,25.0
2064,2014-07-01,China,82.97051673606073,101.9310890501564,116.39802998992937,2201.56,5.0,105.23,0.16126400000000002,15.5,,47353.0,0.0,31.0
2065,2014-08-01,China,108.87360370987392,106.46457403538271,116.39802998992937,2217.2,7.0,100.05,0.162392,19.2,,49877.0,0.0,30.0
2066,2014-09-01,China,94.53605043996492,102.43920531111306,116.39802998992937,2363.87,12.0,95.85,0.162799,17.5,,31214.0,0.0,3.0
2067,2014-10-01,China,115.69388304811537,110.28595447970626,116.39802998992937,2420.18,16.0,86.08,0.16308499999999998,20.5,,45699.0,0.0,8.0
2068,2014-11-01,China,132.782008597491,104.88706467046619,116.39802998992937,2682.83,20.0,76.99,0.163233,14.6,,54765.0,0.0,0.0
2069,2014-12-01,China,134.5150591193609,108.59965136548516,116.39802998992937,3234.68,26.0,60.7,0.161525,24.0,,49916.0,0.0,15.0
2070,2015-01-01,China,157.03538548964409,112.49026419572985,133.61261394410448,3210.36,22.0,47.11,0.160833,42.75,,59315.0,0.0,8.0
2071,2015-02-01,China,211.44761584701163,102.27601468715616,133.61261394410448,3310.3,21.0,54.79,0.159996,24.0,898.8496064999999,60462.0,0.0,28.0
2072,2015-03-01,China,201.61948122898025,107.95554291789782,133.61261394410448,3747.9,15.0,52.83,0.160212,30.0,660.3958589,2516.0,0.0,0.0
2073,2015-04-01,China,146.60550249556908,104.85986623314005,133.61261394410448,4441.66,10.0,57.54,0.161428,42.5,779.5653297,33201.0,0.0,3.0
2074,2015-05-01,China,174.57221529360407,107.76391756400906,133.61261394410448,4611.74,9.0,62.51,0.161236,55.4,744.3483970999999,57154.0,0.0,3.0
2075,2015-06-01,China,127.32789608029728,101.69372086985548,133.61261394410448,4277.22,7.0,61.31,0.161002,46.25,656.8666837000001,45198.0,0.0,26.0
2076,2015-07-01,China,115.684088224342,105.01193022364531,133.61261394410448,3663.73,6.0,54.34,0.161001,32.5,710.6768499,41869.0,0.0,31.0
2077,2015-08-01,China,161.1739096292406,107.03326863402029,133.61261394410448,3205.99,8.0,45.69,0.158051,15.6,811.7514643999999,59688.0,0.0,30.0
2078,2015-09-01,China,143.46064634015562,107.25827388826387,133.61261394410448,3052.78,12.0,46.28,0.156998,27.0,737.4410148,59606.0,0.0,2.0
2079,2015-10-01,China,159.82914787566315,113.82175133210528,133.61261394410448,3382.56,15.0,46.96,0.1575,51.5,762.6619855,61286.0,0.0,12.0
2080,2015-11-01,China,151.19357527110975,108.6911370183095,133.61261394410448,3445.4,24.0,43.11,0.15700699999999998,37.4,687.3355757,53977.0,0.0,0.0
2081,2015-12-01,China,149.81444719618946,111.76826931398122,133.61261394410448,3539.18,23.0,36.57,0.155079,36.75,642.3451031000001,59630.0,0.0,15.0
2082,2016-01-01,China,178.25907984385705,114.43866134236653,148.12431380451991,2737.6,26.0,29.78,0.152374,58.6,717.9039273,56852.0,0.0,6.0
2083,2016-02-01,China,234.3062436090886,111.0685276991358,148.12431380451991,2687.98,21.0,31.03,0.152593,48.5,753.1353984,28149.0,0.0,26.0
2084,2016-03-01,China,178.56297269523998,117.5615364644504,148.12431380451991,3003.92,15.0,37.34,0.15371500000000002,26.25,663.3727424,24910.0,0.0,0.0
2085,2016-04-01,China,176.69342792656246,116.67140578832199,148.12431380451991,2938.32,9.0,40.75,0.15439,40.75,677.8245929,39860.0,0.0,3.0
2086,2016-05-01,China,212.9344025453032,125.6369997651044,148.12431380451991,2916.62,9.0,45.94,0.15321500000000002,50.0,586.7071687000001,44843.0,0.0,2.0
2087,2016-06-01,China,146.4938330607389,116.90011992038276,148.12431380451991,2929.61,5.0,47.69,0.151859,54.75,595.3847065,45343.0,0.0,26.0
2088,2016-07-01,China,154.98505867183883,122.78240013846478,148.12431380451991,2979.34,7.0,44.13,0.14977200000000002,60.0,574.2502541,48347.0,0.0,31.0
2089,2016-08-01,China,182.7126848878535,124.05578152237072,148.12431380451991,3085.49,9.0,44.87,0.150361,46.5,706.9653812999999,50097.0,0.0,30.0
2090,2016-09-01,China,157.3624143902849,121.17027458058772,148.12431380451991,3004.7,10.0,45.04,0.14985,33.5,637.2380601,40430.0,0.0,3.0
2091,2016-10-01,China,185.53350969645334,129.32486060800872,148.12431380451991,3100.49,17.0,49.29,0.148703,30.0,629.9933177999999,48165.0,1.0,8.0
2092,2016-11-01,China,209.15748472303025,125.70870473623695,148.12431380451991,3250.03,23.0,45.26,0.146203,27.5,510.50803370000006,43084.0,1.0,0.0
2093,2016-12-01,China,264.52361270253544,131.30416506978872,148.12431380451991,3103.64,23.0,52.62,0.14440699999999998,30.5,508.4829135,39627.0,1.0,15.0
2094,2017-01-01,China,360.09238376457296,132.44897202269834,155.27364514954482,3159.17,24.0,53.59,0.14494400000000002,30.4,712.7398142999999,49460.0,1.0,9.0
2095,2017-02-01,China,301.462595172334,121.0775526351577,155.27364514954482,3241.73,18.0,54.34,0.145513,26.75,508.65813449999996,-10386.0,1.0,21.0
2096,2017-03-01,China,309.96825970468615,131.99154375857677,155.27364514954482,3222.51,16.0,50.9,0.145085,31.75,562.5695164,22870.0,1.0,0.0
2097,2017-04-01,China,278.9913273590538,125.85705984892503,155.27364514954482,3154.66,13.0,52.16,0.14516500000000002,39.2,606.8972576,36700.0,1.0,5.0
2098,2017-05-01,China,294.62259952934187,132.02739624414306,155.27364514954482,3117.18,11.0,49.89,0.14519200000000002,30.0,549.9800362000001,40286.0,1.0,4.0
2099,2017-06-01,China,200.5348311532814,126.98950387577732,155.27364514954482,3192.43,11.0,46.17,0.146834,31.75,603.2105653,41990.0,1.0,23.0
